name,url,price
Matthew,https://www.glassesshop.com/eyeglasses/sm0752?page=2,$39.95
Holt,https://www.glassesshop.com/eyeglasses/fp1401?page=2,$19.95
Enoch,https://www.glassesshop.com/eyeglasses/fz1159?page=2,$29.95
Kitty,https://www.glassesshop.com/eyeglasses/fz1660?page=2,$29.95
Darcy,https://www.glassesshop.com/eyeglasses/sm0787?page=2,$19.95
Springfield,https://www.glassesshop.com/eyeglasses/fm1409?page=2,$24.95
Omar,https://www.glassesshop.com/eyeglasses/fm1271?page=2,$19.95
Averies,https://www.glassesshop.com/eyeglasses/fp1828?page=2,$19.95
Vivian,https://www.glassesshop.com/eyeglasses/fz1250?page=2,$29.95
Leigh,https://www.glassesshop.com/eyeglasses/fz1368?page=2,$5.95
Mason,https://www.glassesshop.com/eyeglasses/fp1641?page=2,$19.95
Buckeye,https://www.glassesshop.com/eyeglasses/fz1092?page=2,$29.95
Jacksonville,https://www.glassesshop.com/eyeglasses/fp2184?page=2,$19.95
Salisbury,https://www.glassesshop.com/eyeglasses/fp2105?page=2,$19.95
Roanoke,https://www.glassesshop.com/eyeglasses/sup1005?page=2,$19.95
Egbert,https://www.glassesshop.com/eyeglasses/rm0288?page=2,$54.95
Hume,https://www.glassesshop.com/eyeglasses/fz1297?page=2,$29.95
Annabelle,https://www.glassesshop.com/eyeglasses/fp2086?page=2,$24.95
Kitchener,https://www.glassesshop.com/eyeglasses/sm0907?page=2,$29.95
Aurora,https://www.glassesshop.com/eyeglasses/sup0795?page=2,$29.95
Astrid,https://www.glassesshop.com/eyeglasses/fp1500?page=2,$12.95
Anna,https://www.glassesshop.com/eyeglasses/fp2485?page=2,$24.95
Martin,https://www.glassesshop.com/eyeglasses/sm0795?page=2,$29.95
Galveston,https://www.glassesshop.com/eyeglasses/sup1101?page=2,$29.95
Ezekiel,https://www.glassesshop.com/eyeglasses/fz1279?page=2,$29.95
Gaskell,https://www.glassesshop.com/eyeglasses/sup0568?page=2,$29.95
