rank,Name,GDP_Per_Capita,Population
158,Burundi,$294,"12,624,840"
159,Timor Leste,"$2,492","1,369,429"
160,Liberia,$606,"5,305,117"
161,Aruba,"$27,433","107,609"
162,Bhutan,"$3,730","787,941"
163,Lesotho,"$1,329","2,175,699"
164,South Sudan,$241,"11,618,511"
165,Djibouti,"$2,558","1,016,097"
166,Central African Republic,$495,"5,016,678"
167,Cape Verde,"$3,890","567,678"
168,Belize,"$5,024","412,190"
169,Saint Lucia,"$11,177","185,113"
170,Gambia,$731,"2,558,482"
171,Antigua And Barbuda,"$18,179","99,509"
172,Seychelles,"$17,490","99,426"
173,San Marino,"$49,054","34,085"
174,Guinea Bissau,$809,"2,063,367"
175,Solomon Islands,"$2,228","721,159"
176,Grenada,"$11,721","113,475"
177,Saint Kitts And Nevis,"$20,753","53,871"
178,Vanuatu,"$3,089","321,832"
179,Samoa,"$4,747","202,239"
180,Saint Vincent And the Grenadines,"$8,095","111,551"
181,Comoros,$852,"907,419"
182,Dominica,"$8,155","72,344"
183,Sao Tome And Principe,"$2,315","227,679"
184,Tonga,"$4,752","107,749"
185,Micronesia,"$3,311","117,489"
186,Palau,"$17,770","18,233"
187,Marshall Islands,"$3,796","60,057"
188,Kiribati,"$1,588","123,419"
189,Nauru,"$10,731","10,903"
190,Tuvalu,"$4,393","12,066"
191,Andorra,"$36,900","77,463"
192,Bermuda,"$98,925","61,939"
193,British Virgin Islands,"$31,744","30,596"
194,Cayman Islands,"$57,138","67,277"
195,Cook Islands,"$16,516","17,571"
196,Cuba,"$7,933","11,305,652"
197,French Polynesia,"$19,066","284,164"
198,Palestine,"$2,506","5,345,541"
199,Greenland,"$40,070","56,973"
200,North Korea,$646,"25,990,679"
201,Liechtenstein,"$161,348","38,387"
202,Monaco,"$162,582","39,783"
203,Montserrat,"$12,498","4,965"
204,Curacao,"$18,857","165,529"
205,Sint Maarten,"$24,384","43,966"
206,New Caledonia,"$32,469","290,915"
207,Pakistan,"$1,231","229,488,994"
208,Anguilla,"$22,162","15,230"
209,Sudan,"$1,802","45,992,020"
210,Syria,"$1,145","19,364,809"
211,Turks And Caicos Islands,"$23,088","39,741"
